NAME,DESCRIPTION,NI_V_1,NI_V_2,NI_V_3,NI_V_4,NI_V_5,NI_MKI_1,NI_MKI_2,NI_MKI_3,NI_MKI_4,NI_MKI_5
ENSMUSG00000068740,NA,62.18029042,50.22239347,28.18407766,4.711069348,12.32639876,32.79071497,2.234914908,17.3463954,7.754721564,28.52076697
ENSMUSG00000068742,NA,147.8920024,258.6357404,267.519708,86.70215537,225.7253334,136.8369164,104.4500842,257.4464045,82.78508101,229.2895207
ENSMUSG00000068744,NA,28.23727379,19.75702909,30.87520048,36.5805572,36.73829488,36.10975535,40.02961265,30.04092399,45.89332614,23.90775131
ENSMUSG00000068747,NA,2785.813861,3245.351876,2358.2566,1237.648807,2444.587482,3761.37219,1796.39803,2741.163193,1750.39114,4146.115715
ENSMUSG00000068748,NA,4.654450617,17.45858645,5.178006911,0,0,6.248383936,0,3.011862053,9.38140046,0
ENSMUSG00000068749,NA,1169.963393,1075.378357,1258.257112,2114.658303,1208.752837,1120.970484,1675.589796,1136.707058,1715.009988,989.9743997
ENSMUSG00000068762,NA,24.02247459,56.95374533,50.02743661,71.10271432,90.65946275,46.62097597,76.2098315,113.2933575,37.91431007,76.90048233
ENSMUSG00000068794,NA,11.4522612,16.59185796,4.156060567,2.187049807,3.449130632,7.245917432,4.380393278,1.019228833,1.809278645,12.02634807
ENSMUSG00000068798,NA,308.8931741,299.7195484,248.5803712,414.2889743,272.3136149,247.7021998,332.4584686,277.9742606,300.3703383,292.4431416
ENSMUSG00000068823,NA,333.3862132,908.7531032,503.0429798,571.9732308,689.1111366,406.1311438,419.7120087,532.269776,677.2979472,943.821417
ENSMUSG00000068854,NA,87.70350218,95.09978444,59.61469269,71.33869123,82.63189466,73.68166624,105.9355467,90.09087457,116.0675499,77.9154997
ENSMUSG00000068855,NA,0.788874672,0,0,2.355326722,2.282906416,0.801030409,2.211384757,0,4.718213069,0
ENSMUSG00000068856,NA,483.7705168,437.1064327,428.7314748,296.0226136,458.0396831,433.0264654,395.4950936,464.2410091,415.7736353,470.1032739
ENSMUSG00000068874,NA,692.2581561,955.0595336,1057.459543,802.5808222,1074.210212,1226.485277,1206.437027,949.8428941,715.6913596,949.0162151
ENSMUSG00000068876,NA,1466.423765,2148.73591,2204.474813,736.2723339,1511.183348,1861.592057,1007.12682,1947.839992,1027.302444,2233.552441
ENSMUSG00000068877,NA,16.1824501,39.70415277,13.50149114,25.59612644,9.760241293,24.52580585,13.08994922,9.723698505,17.65140105,9.210004407
ENSMUSG00000068882,NA,1273.273252,1141.639474,1218.838223,1433.777616,1221.516484,1437.056707,1210.63381,1232.432734,1236.173334,1036.878426
ENSMUSG00000068885,NA,0,1.200490155,0,0,0,0,1.061302024,0.991931741,0.959421943,0.924530513
ENSMUSG00000068893,NA,37397.10659,41768.5628,34358.15612,84030.75691,35934.92748,49041.30599,54571.25856,52453.92226,45754.29609,61708.39432
ENSMUSG00000068917,NA,124.5750838,74.54124704,232.8938069,181.3395995,182.557061,127.6222191,200.9988484,225.8923178,223.0669732,87.81192667
ENSMUSG00000068921,NA,594.3490527,643.8869873,604.4871051,833.5716142,632.1608848,638.5261591,802.7421121,834.2879812,831.0357351,637.5457494
ENSMUSG00000068922,NA,117.2517365,100.7811243,75.26725533,83.8021703,91.00326929,79.43428915,84.10593153,100.2311483,124.5322907,98.13494709
ENSMUSG00000068923,NA,143.3370637,276.7288806,104.7431463,52.54820164,44.83796596,83.37481783,48.29056852,84.32134496,66.95311087,110.0854752
ENSMUSG00000068959,NA,17.72821119,13.86750668,15.49309082,1.086880288,24.52466959,22.43208443,10.96318216,18.05322111,11.92840754,16.08032226
ENSMUSG00000068964,NA,79.72490876,68.25437567,70.89999861,99.84981432,82.25614048,79.27925186,80.15206197,73.34799495,59.45312535,75.5600544
ENSMUSG00000068966,NA,49.11081549,54.62779833,96.71091937,35.8807852,36.91373699,48.20483996,15.79318363,47.64630232,31.1098429,62.24273326
ENSMUSG00000068969,NA,0.772474946,0,1.040554689,2.214431978,0,1.758225709,4.3830803,0,0.943482626,1.839229829
ENSMUSG00000068999,NA,0.764568252,0,1.025797272,0,1.168516749,0,0,0,0,0
